# evidence: filter_shapes
# what: read_rows, read_bytes, marks, parts and EXPLAIN key condition per filter shape, cold and warm
# run_utc: 2026-08-01 16:38:00
# git: 2b1442f-dirty
# host: ss-cric
# row_count: 2056714
# event_watermark: 2026-08-01 16:37:57.901
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 16:38:00   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	selected_marks	selected_parts	memory_bytes	key_condition
unfiltered	10	11	24892	199136	3	1	1154934	(minute in (-Inf, 1785542399]) ; granules 3/3
platform	11	11	16384	147533	2	1	1234662	and((minute in (-Inf, 1785542399]), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE'])) ; granules 2/3
country	11	12	24892	224049	3	1	1317335	and((minute in (-Inf, 1785542399]), (country in ['india', 'india'])) ; granules 3/3
content	11	11	24892	398272	3	1	1044156	and((minute in (-Inf, 1785542399]), (content_id in [2078157818, 2078157818])) ; granules 3/3
video_type	12	11	24892	224059	3	1	1294642	and((minute in (-Inf, 1785542399]), (video_type in ['vod', 'vod'])) ; granules 3/3
app_version	11	11	24892	224943	3	1	1203716	and((minute in (-Inf, 1785542399]), (app_version in ['6.34.8', '6.34.8'])) ; granules 3/3
platform+country	12	11	16384	163938	2	1	1395819	and((minute in (-Inf, 1785542399]), and((country in ['india', 'india']), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE']))) ; granules 2/3
content+platform	12	11	16384	278605	2	1	1200100	and((minute in (-Inf, 1785542399]), and((content_id in [2078157818, 2078157818]), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE']))) ; granules 2/3
#
# window	2026-07-26 00:00:00 -> 2026-07-27 00:00:00
# query	sql/queries/serving/peak_average.sql
# use_query_cache	0
# service	26.2.1.525
