# evidence: insight_bench_cohorts_retention_curve
# what: read_rows, read_bytes, result_rows, tables and EXPLAIN key condition per filter shape for cohorts_retention_curve
# run_utc: 2026-08-01 18:30:58
# git: 3879df6-dirty
# host: ss-cric
# row_count: 2188714
# event_watermark: 2026-08-01 17:07:20.017
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 17:34:51   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
shape	cold_ms	warm_ms	read_rows	read_bytes	result_rows	memory_bytes	tables_read	raw_scan	key_condition
unfiltered	13	13	8181	361131	316	7349748	phoenix_next.content_entry_cohorts	no	and((cohort_minute in (-Inf, 1785542399]), and((cohort_minute in (-Inf, 1785110399]), (cohort_minute in [1785024000, +Inf)))) ; granules 1/1
platform	11	11	8181	361131	305	2733463	phoenix_next.content_entry_cohorts	no	and((cohort_minute in (-Inf, 1785542399]), and((cohort_minute in (-Inf, 1785110399]), and((cohort_minute in [1785024000, +Inf)), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE'])))) ; granules 1/1
country	30	13	8181	361131	316	7361906	phoenix_next.content_entry_cohorts	no	and((cohort_minute in (-Inf, 1785542399]), and((cohort_minute in (-Inf, 1785110399]), and((cohort_minute in [1785024000, +Inf)), (country in ['india', 'india'])))) ; granules 1/1
content	10	9	8181	361131	62	2564619	phoenix_next.content_entry_cohorts	no	and((cohort_minute in (-Inf, 1785542399]), and((cohort_minute in (-Inf, 1785110399]), and((cohort_minute in [1785024000, +Inf)), (content_id in [2078157818, 2078157818])))) ; granules 1/1
app_version	10	27	8181	361131	252	2767549	phoenix_next.content_entry_cohorts	no	and((cohort_minute in (-Inf, 1785542399]), and((cohort_minute in (-Inf, 1785110399]), and((cohort_minute in [1785024000, +Inf)), (app_version in ['6.34.8', '6.34.8'])))) ; granules 1/1
platform+country	11	11	8181	361131	305	2746461	phoenix_next.content_entry_cohorts	no	and((cohort_minute in (-Inf, 1785542399]), and((cohort_minute in (-Inf, 1785110399]), and((cohort_minute in [1785024000, +Inf)), and((country in ['india', 'india']), (platform in ['ANDROID_PHONE', 'ANDROID_PHONE']))))) ; granules 1/1
#	query	sql/insights/benchmark/cohorts_retention_curve.sql
#	window	2026-07-26 00:00:00 -> 2026-07-27 00:00:00
#	service	26.2.1.525
#	use_query_cache	0
gate.raw_events_in_plan	0	(required 0)	PASS
