# evidence: naive_baseline
# what: naive session-span vs foreground-only, same minute rule, densified, clipped to the overlapping range
# run_utc: 2026-08-01 14:15:18
# git: e528698-dirty
# host: ss-cric
# row_count: 960851
# event_watermark: 2026-08-01 13:20:21.559
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 14:15:18   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
metric	value
compare_range_start	2026-07-14 15:43:00
peak_naive	3742
compare_range_end	2026-07-26 11:31:00
naive_span	2026-07-14 15:43:00 .. 2026-07-26 11:31:00
corrected_span	2026-07-14 15:43:00 .. 2026-07-26 11:32:00
naive_delta_rows	15725
minutes_excluded_by_clip	1
naive_sum_delta	0
gate	PASS
peak_naive_minute	2026-07-26 10:59:00
peak_corrected_minute	2026-07-26 10:56:00
minutes_compared	17029
minutes_naive_gt0	5254
overcount_pct_at_peak	32.3
phantom_minutes	1592
peak_corrected	2829
minutes_corrected_gt0	3664
inverted_minutes	2
